client_id,path,sentence,age,gender,variant,locale,assigned_accent,annotated_accent,annotated_accent_agreement,assigned_gender,source_dataset,source_file,label,split
0032c61f2c497c846e35d6725dac20c4c216cd77cc4972daa06a5fe6cb153f77a9453a528b1d8cf9827c87d24ac509d5307dbd05518f1b7a1c1e33eb60025626,common_voice_ca_37612601.mp3,"Warwick, per exemple, era el Lord High Almirall.",,,,ca,balearic,,,,projecte-aina/annotated_catalan_common_voice_v17,corpus/files/annotated_test.tsv,balearic,calibration
0032c61f2c497c846e35d6725dac20c4c216cd77cc4972daa06a5fe6cb153f77a9453a528b1d8cf9827c87d24ac509d5307dbd05518f1b7a1c1e33eb60025626,common_voice_ca_37612602.mp3,L'antiga imatge ha desaparegut.,,,,ca,balearic,,,,projecte-aina/annotated_catalan_common_voice_v17,corpus/files/annotated_test.tsv,balearic,calibration
0032c61f2c497c846e35d6725dac20c4c216cd77cc4972daa06a5fe6cb153f77a9453a528b1d8cf9827c87d24ac509d5307dbd05518f1b7a1c1e33eb60025626,common_voice_ca_37612603.mp3,Una sentència de mort no pot ser executada fins que no és aprovada pel president.,,,,ca,balearic,,,,projecte-aina/annotated_catalan_common_voice_v17,corpus/files/annotated_test.tsv,balearic,calibration
0032c61f2c497c846e35d6725dac20c4c216cd77cc4972daa06a5fe6cb153f77a9453a528b1d8cf9827c87d24ac509d5307dbd05518f1b7a1c1e33eb60025626,common_voice_ca_37612605.mp3,Es troba a Austràlia: el Territori de la Capital Australiana.,,,,ca,balearic,,,,projecte-aina/annotated_catalan_common_voice_v17,corpus/files/annotated_test.tsv,balearic,calibration
04a29922ae7dced5d4b297a30db2aade37010e1c9e73641c290021f0017b5decb59ca98fadf54af9a926d8fc9d4b94efe305f4142eab499be7dddf21b78e1d0f,common_voice_ca_37561357.mp3,A la descarada.,,,,ca,balearic,,,,projecte-aina/annotated_catalan_common_voice_v17,corpus/files/annotated_dev.tsv,balearic,calibration
04a29922ae7dced5d4b297a30db2aade37010e1c9e73641c290021f0017b5decb59ca98fadf54af9a926d8fc9d4b94efe305f4142eab499be7dddf21b78e1d0f,common_voice_ca_37561358.mp3,Pesar el fum.,,,,ca,balearic,,,,projecte-aina/annotated_catalan_common_voice_v17,corpus/files/annotated_dev.tsv,balearic,calibration
04a29922ae7dced5d4b297a30db2aade37010e1c9e73641c290021f0017b5decb59ca98fadf54af9a926d8fc9d4b94efe305f4142eab499be7dddf21b78e1d0f,common_voice_ca_37561359.mp3,"Pel juliol, pinta l'ullerol.",,,,ca,balearic,,,,projecte-aina/annotated_catalan_common_voice_v17,corpus/files/annotated_dev.tsv,balearic,calibration
04a29922ae7dced5d4b297a30db2aade37010e1c9e73641c290021f0017b5decb59ca98fadf54af9a926d8fc9d4b94efe305f4142eab499be7dddf21b78e1d0f,common_voice_ca_37561360.mp3,Per la festa del Roser tot fruit ve.,,,,ca,balearic,,,,projecte-aina/annotated_catalan_common_voice_v17,corpus/files/annotated_dev.tsv,balearic,calibration
04a29922ae7dced5d4b297a30db2aade37010e1c9e73641c290021f0017b5decb59ca98fadf54af9a926d8fc9d4b94efe305f4142eab499be7dddf21b78e1d0f,common_voice_ca_37561361.mp3,Dormir com una marmota.,,,,ca,balearic,,,,projecte-aina/annotated_catalan_common_voice_v17,corpus/files/annotated_dev.tsv,balearic,calibration
1600be677fb16b347f8fed850d2705d9db9305e9f1b5b700fa29677a070ccf828f46f3571e23c035350805314495eed3c452de6cb01af9c8b4d4a85d9a095b37,common_voice_ca_31098688.mp3,Vull anar al camí de Sant Cugat sense agafar el cotxe.,twenties,,,ca,balearic,,,,projecte-aina/annotated_catalan_common_voice_v17,corpus/files/annotated_train.tsv,balearic,calibration
