client_id,path,sentence_id,sentence,sentence_domain,up_votes,down_votes,age,gender,accents,variant,locale,segment,label,source_dataset,source_file,archive_member
c0e57cd5c04ca949f94c3e70728c66a79868aece442c17e29700ce4c6cf24ea2c9ef0f367af86c0a485c6a54101a6699f2fe9cbad9f5a0a3895c44aa61470835,common_voice_ca_39122763.mp3,c9a050d97bc0aa8a84644c0280874c1d7dea19fe51569e588a33e3020ad60064,Dins de Sant Pere s'hi conserva un panteó-cripta on descansa Nicolau Font.,,4,0,fourties,male_masculine,Estàndard i normatiu,Valencià meridional,ca,,valencian,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_39122763.mp3
61af903b928d0a482f4e5cf4c597aeb89a22da67efa4c2850b2f473517f789f2e0b6279af49a4f21560ffb7a32bd6495d47a6fcf4b73bf6d80d58b0b3e17b616,common_voice_ca_30789862.mp3,8346bb50501c1171f99584bbdcfa4d65edec47e08ca6e653adfa9c4c05c9cdaf,"La Laurie recupera la destral i decapita en Michael, matant-lo per fi.",,2,0,,,,Septentrional,ca,,northern,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_30789862.mp3
02eecc0d9bc8c8f492ad62ab7a0b057cb83436e2c6f39921188156409e1a08f618374745b21907cab4e51172f39c47460c4be466ae62b13d7b3fbfdd54b99486,common_voice_ca_37589924.mp3,2e53fd8e43366b615ee34a051e23a9997fe5d4bdc72f53ce6d265e42e21a4cf2,"Quan canta el gall a la vesprada, pluja o nevada.",,2,0,,,,Central,ca,,central,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_37589924.mp3
4dd7007add5f8c42f315fd880cc0c73aa8cabf85aee0326c0b2cb6f5b2f373a2137400f5850b9e7980c2f0408ed5bcc2d2b3d9276024a5ab40ed2bb4b8f421d8,common_voice_ca_37639755.mp3,796d9e4fea07763a1e40c232707ac38df32410792a83c4797e707335e2d9c223,Obra de paredat i maó.,,4,0,,,nord-occidental|De Lleida,Nord-Occidental,ca,,northwestern,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_37639755.mp3
a8b8319bdccca67edac317b794b5c906110d6230f97f3c89228979d366aa4fe0325ea8041adfc9392c14c46675e0ef7d9af4115ac60f5de1462cd992db9a4d95,common_voice_ca_38375655.mp3,adb91bb16cbdde14b924d6cc68a3983d4d60d4253f14f164972a244ea742a927,"L""estació es construirà sota terra, sobre l""eix nord-oest i sud-oest.",,2,0,,,,Septentrional,ca,,northern,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_38375655.mp3
cb42cb3205438d700affc4fedb7c25ec01d48a900331e50dccce6f59018e141eaf23a4554a9edf8697040ac55584a625ef9adaa65777c53411521a569a853143,common_voice_ca_32517266.mp3,089ea247922cd870c1c17fa9d5b7e1e9b5d73193dd74d8de7bf9e1997fc8da4a,Dissabte en Guifré i na Noa aniran al Verger.,,2,0,twenties,male_masculine,,Nord-Occidental,ca,,northwestern,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_32517266.mp3
fc00601a5a2175d6d286f4c91abc27981395c76868612c38757e126f0ff93c654765ba28728996facf2783e75e2f42e72e855bcd25c23726ebb43c7712d9a408,common_voice_ca_36905819.mp3,60bb5896cf2e5d131087c3651442d5dc037482fd40e6415b4c7aac5892e65408,La delimitació de fronteres fou un dels aspectes principals del seu regne.,,2,0,,,,Nord-Occidental,ca,,northwestern,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_36905819.mp3
c30baab0f45d64158eceb94662862189a34f385abac72c907099d6e5aad093ade707de758214d4061ce58cbadadbf8f7dca14103772ca05dac2e8fb24a8fd161,common_voice_ca_36826467.mp3,5c3e72cdf76428c70342e9d086113f31cab8f3898ffe8b7a0e2ba48cda0778ef,Els ous es desclouen a l'abril.,,2,0,,,,Balear,ca,,balearic,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_36826467.mp3
90caf94afc26445479324f2f89e12556f0d8092d86765d8f17594f70bd754ea7a4e0630596e5691f2d9514d6211032e436672dc8a3f8d198c63fce970c065b19,common_voice_ca_36928904.mp3,624873414d1099eea955b3adb864cd95f9dd843aa7fe12016d5e180d8056e85d,Divendres en Rauric vol anar a la biblioteca.,,2,0,,,valencià,,ca,,valencian,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_36928904.mp3
b4897fbb47c0ff0027b395498cff80235b5ff3936e43a009c63ca3ac0c224c867cad8497378b5f0cd896ce1dc97fe3b118227b1085c02f8793980acc2251e564,common_voice_ca_37766169.mp3,7f612ba5068bff2f9d9281c6d3fa515521f30553dba306adc682cbfa22366445,"La residència del comte Alexey Arakcheyev, Gruzino, està a algunes milles.",,2,0,,,,Septentrional,ca,,northern,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_37766169.mp3
1c9de0d86eb73f36f1d4ab9194c221db3236d86bb6950d614e51877638a4a329f5b2eaf5dfb6aa86bcd79c1bae8719e344330b90d1dda6c15fb5e702df31f1b9,common_voice_ca_19500750.mp3,092e85eac66c5c70118b164237be918e6e4926344ec3e7d106714d0c59b84696,També realitza música per a publicitat televisiva.,,3,0,sixties,male_masculine,,Septentrional,ca,,northern,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_19500750.mp3
95c2c4433dd41d7dced5df4673508fb07bc2214f67c327f08a4d666a489c863acd883e9fd72c01070c3b828c8531394363d706e2943439d655d8156aca1e3451,common_voice_ca_30784965.mp3,809348c9d7ba6846c3337bf419662422aef14a9840e8af57780cf19550340b62,"Es tracta d'una estació sense personal, connectada al centre comercial de MetroCentre a través d'un pont cobert per a vianants.",,2,1,fourties,male_masculine,,Central,ca,,central,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_30784965.mp3
8dccfb605c83df1076d2b14598d15a614081a0b1972a28d62e99ee3a373c071e0fb17a28245681a76f481385197a59e44afc8f5e36636ce77a81b4c2a7adae6f,common_voice_ca_32293519.mp3,bf0144514e4332c0877af1040f3aae5f1a43e473d6721267cbb7638e08cd385e,Divendres na Vinyet anirà d'excursió.,,4,0,fourties,male_masculine,,Balear,ca,,balearic,common_voice_26_ca,train.tsv,cv-corpus-26.0-2026-06-12/ca/clips/common_voice_ca_32293519.mp3
